year,station,streamflow,node,area
2005,03219500,843.9023029439696,9,1469.508
2005,03220000,315.63179487179485,7,463.9194
2005,03221000,1535.938919796013,8,2549.06
2005,03223425,60.845625381768535,12,98.2692
2005,03225500,528.458098748883,11,1019.562
2005,03226800,743.1151957986071,10,1278.311
2005,03227500,2497.5281075842017,6,4205.12
2005,03228300,81.55868908469701,5,262.8486
2005,03228500,302.5445827149218,4,490.9968
2005,03228750,90.00767489448779,3,169.9686
2005,03228805,155.45945945945945,2,325.5012
2005,03229500,784.8347816521834,1,1424.002
2005,03229610,2180.7630922693265,0,5879.026
2006,03219500,675.0781755196305,9,1469.508
2006,03220000,186.59059913935783,7,463.9194
2006,03221000,1106.410997866793,8,2549.06
2006,03223425,49.67236713080996,12,98.2692
2006,03225500,576.5167732686369,11,1019.562
2006,03226800,564.6332662959896,10,1278.311
2006,03227500,2144.3108442570356,6,4205.12
2006,03228300,98.09228537884428,5,262.8486
2006,03228500,170.68528034715084,4,490.9968
2006,03228750,63.78272182972099,3,169.9686
2006,03228805,107.12853817504656,2,325.5012
2006,03229500,505.5789114097017,1,1424.002
2006,03229610,2315.362886597938,0,5879.026
2007,03219500,799.0591614518148,9,1469.508
2007,03220000,258.1486917876815,7,463.9194
2007,03221000,1268.5337253111086,8,2549.06
2007,03223425,49.86954059456201,12,98.2692
2007,03225500,507.11791965888693,11,1019.562
2007,03226800,701.7116327960757,10,1278.311
2007,03227500,2060.0591144517434,6,4205.12
2007,03228300,127.03362415682301,5,262.8486
2007,03228500,247.85055371617764,4,490.9968
2007,03228750,63.28202681593336,3,169.9686
2007,03228805,107.21451079744239,2,325.5012
2007,03229500,581.9764373897707,1,1424.002
2007,03229610,2412.725747960109,0,5879.026
2008,03219500,855.1376087733938,9,1469.508
2008,03220000,254.76133578586834,7,463.9194
2008,03221000,1387.4086665851871,8,2549.06
2008,03223425,51.99169959967975,12,98.2692
2008,03225500,521.7070378586218,11,1019.562
2008,03226800,738.0170120594778,10,1278.311
2008,03227500,2320.5401804796957,6,4205.12
2008,03228300,137.1731857286628,5,262.8486
2008,03228500,291.6275759990892,4,490.9968
2008,03228750,91.1799312809236,3,169.9686
2008,03228805,157.2893406843242,2,325.5012
2008,03229500,722.2183420513986,1,1424.002
2008,03229610,3008.9222776874853,0,5879.026
2009,03219500,350.9099324592769,9,1469.508
2009,03220000,80.01414001972108,7,463.9194
2009,03221000,514.8299735714936,8,2549.06
2009,03223425,24.81459775086505,12,98.2692
2009,03225500,282.4339796092726,11,1019.562
2009,03226800,409.0612708947886,10,1278.311
2009,03227500,1084.773280206258,6,4205.12
2009,03228300,88.17754807520143,5,262.8486
2009,03228500,145.53927046057947,4,490.9968
2009,03228750,51.058533855623956,3,169.9686
2009,03228805,83.35844513429612,2,325.5012
2009,03229500,428.2623075315265,1,1424.002
